"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.68,0.583333333333333,0.684210526315789,0.458333333333333,0.6,0.75,0.521739130434783,0.722222222222222,0.6,0.666666666666667
"2",0.785714285714286,0.684210526315789,0.6,0.481481481481481,0.666666666666667,0.666666666666667,0.75,0.590909090909091,0.461538461538462,0.555555555555556
"3",0.785714285714286,0.592592592592593,0.666666666666667,0.533333333333333,0.708333333333333,0.681818181818182,0.6,0.75,0.875,0.666666666666667
"4",0.764705882352941,0.727272727272727,0.666666666666667,0.842105263157895,0.5,0.722222222222222,0.64,0.666666666666667,0.727272727272727,0.769230769230769
"5",0.535714285714286,0.65,0.714285714285714,0.772727272727273,0.789473684210526,0.85,0.666666666666667,0.736842105263158,1,0.888888888888889
"6",0.7,0.708333333333333,0.578947368421053,0.6,0.56,0.789473684210526,0.6,0.705882352941177,0.8,0.75
"7",0.461538461538462,0.791666666666667,0.521739130434783,0.739130434782609,0.72,0.5,0.722222222222222,0.615384615384615,0.684210526315789,0.571428571428571
"8",0.64,0.368421052631579,0.777777777777778,0.727272727272727,0.551724137931034,0.846153846153846,0.391304347826087,0.380952380952381,0.583333333333333,0.75
"9",0.619047619047619,0.933333333333333,0.631578947368421,0.888888888888889,0.85,0.666666666666667,0.764705882352941,0.478260869565217,0.647058823529412,0.428571428571429
"10",0.5,0.944444444444444,0.708333333333333,0.545454545454545,0.8125,0.807692307692308,0.588235294117647,0.65,0.714285714285714,0.454545454545455
"11",0.583333333333333,0.538461538461538,0.916666666666667,0.714285714285714,0.5,0.722222222222222,0.636363636363636,0.714285714285714,0.777777777777778,0.727272727272727
"12",0.478260869565217,0.631578947368421,0.478260869565217,0.684210526315789,0.785714285714286,0.736842105263158,0.846153846153846,0.923076923076923,1,0.7
"13",0.909090909090909,0.5,0.681818181818182,0.6875,0.65,0.785714285714286,0.736842105263158,0.7,0.714285714285714,0.666666666666667
"14",0.523809523809524,0.666666666666667,0.789473684210526,0.419354838709677,0.666666666666667,0.916666666666667,0.652173913043478,0.583333333333333,0.7,0.875
"15",0.8,0.764705882352941,0.76,0.5,0.631578947368421,0.647058823529412,0.882352941176471,0.866666666666667,0.466666666666667,0.777777777777778
"16",0.789473684210526,0.555555555555556,0.736842105263158,0.85,0.722222222222222,0.538461538461538,0.392857142857143,0.894736842105263,0.588235294117647,0.9
"17",0.724137931034483,0.739130434782609,0.761904761904762,0.357142857142857,0.6,0.631578947368421,0.684210526315789,1,0.523809523809524,0.692307692307692
"18",0.7,0.875,0.535714285714286,0.777777777777778,0.727272727272727,0.666666666666667,0.619047619047619,0.65,0.5,0.833333333333333
"19",0.592592592592593,0.565217391304348,0.941176470588235,0.652173913043478,0.647058823529412,0.772727272727273,0.565217391304348,0.619047619047619,0.727272727272727,0.5
"20",0.64,0.733333333333333,0.761904761904762,0.48,0.733333333333333,0.652173913043478,0.75,0.705882352941177,0.384615384615385,0.5
"21",0.785714285714286,0.8,0.730769230769231,0.666666666666667,0.75,0.619047619047619,0.666666666666667,0.6,0.666666666666667,0.888888888888889
"22",0.730769230769231,0.608695652173913,0.518518518518518,0.666666666666667,0.823529411764706,0.75,0.772727272727273,0.583333333333333,1,0.8
"23",0.526315789473684,0.7,0.583333333333333,0.631578947368421,0.517241379310345,0.875,0.789473684210526,0.571428571428571,0.75,0.538461538461538
"24",0.75,0.647058823529412,0.6,0.761904761904762,0.458333333333333,0.789473684210526,0.578947368421053,0.611111111111111,0.714285714285714,1
"25",0.739130434782609,0.5,0.611111111111111,0.722222222222222,0.571428571428571,0.5,0.666666666666667,0.666666666666667,0.75,0.6
